City_ID,City,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
276,São João da Barra,-21.6403,-41.0511,31.05,78,26,4.66,BR,1720631916
277,Tunceli,39.1083,39.5471,23.83,53,84,1.89,TR,1720631916
278,Udachny,66.4167,112.4,16.91,70,35,1.31,RU,1720631916
279,Haţeg,45.6167,22.95,28.1,47,0,0.33,RO,1720631916
280,Prestatyn,53.3375,-3.4078,17.04,93,98,2.68,GB,1720631917
281,Tariba,7.8188,-72.2243,31.31,47,99,3.42,VE,1720631917
282,Guntersville,34.3582,-86.2947,27.16,67,100,4.12,US,1720631917
283,Norwich,52.6278,1.2983,22.23,66,40,5.66,GB,1720631917
284,Dongying,37.4564,118.4856,25.27,49,5,2.33,CN,1720631917
285,Plainview,40.7765,-73.4673,30.89,82,100,8.75,US,1720631620
286,Coquimbo,-29.9533,-71.3436,12.85,62,0,4.63,CL,1720631323
287,Cascade,47.3,-111.3675,31.12,29,0,4.47,US,1720631918
288,Krasnokholm,51.5979,54.1567,18.34,93,99,3.91,RU,1720631918
289,Sinan,34.8262,126.1086,24.06,95,16,2.78,KR,1720631918
290,Suntar,62.1444,117.6319,17.51,66,24,2.08,RU,1720631918
291,Juan Griego,11.0817,-63.9655,31.07,70,7,5.66,VE,1720631918
292,Bredasdorp,-34.5322,20.0403,15.52,65,54,9.55,ZA,1720631918
293,Dinguiraye,11.3,-10.7167,27.75,71,99,0.99,GN,1720631918
294,Mahon,39.8885,4.2658,27.31,69,0,3.6,ES,1720631918
295,Lhasa,29.65,91.1,14.49,84,100,2.53,CN,1720631919
296,Ambodifotatra,-16.9833,49.85,23.97,60,69,7.89,MG,1720631919
297,Utrik,11.2278,169.8474,28.03,79,99,6.54,MH,1720631919
298,Arraial do Cabo,-22.9661,-42.0278,25.98,73,0,4.63,BR,1720631872
299,Staryya Darohi,53.0402,28.267,22.69,64,6,3.29,BY,1720631919
300,Magadan,59.5667,150.8,13.54,62,0,2.66,RU,1720631845
301,Belmonte,-15.8631,-38.8828,25.55,69,79,3.17,BR,1720631919
302,Mili,6.0815,171.735,28.15,80,42,6.26,MH,1720631919
303,Tazovsky,67.4667,78.7,14.16,68,11,4.05,RU,1720631920
304,Lebu,-37.6167,-73.65,9.19,62,23,4.61,CL,1720631782
305,Fale old settlement,-9.3852,-171.2468,28.45,70,41,7.72,TK,1720631920
306,Preobrazheniye,42.9019,133.9064,17.21,84,0,2.09,RU,1720631920
307,Prince Albert,53.2001,-105.7677,26.97,61,75,4.63,CA,1720631920
308,Gadzhiyevo,69.2551,33.3362,12.68,66,100,2.31,RU,1720631920
309,Port Isabel,26.0734,-97.2086,27.05,62,88,3.52,US,1720631920
310,Deori Khās,23.4,79.0167,30.48,67,77,4.2,IN,1720631921
311,Guiuan,11.0333,125.7247,28.75,75,99,1.49,PH,1720631921
312,Lospalos,-8.5186,127.0025,21.4,83,95,3.41,TL,1720631921
313,Grand Falls-Windsor,48.9332,-55.6649,26.39,74,39,7.3,CA,1720631921
314,Tuzantla,19.2029,-100.5668,26.54,94,100,0.88,MX,1720631921
315,Chibougamau,49.9168,-74.3659,22.79,46,20,3.09,CA,1720631921
316,Ulladulla,-35.35,150.4667,9.61,82,4,2.34,AU,1720631921
317,Island Harbour,50.724,-1.2758,20.18,73,68,2.68,GB,1720631921
318,Swakopmund,-22.6833,14.5333,14.99,76,1,0.89,NA,1720631921
319,New Norfolk,-42.7826,147.0587,8.73,98,57,0.85,AU,1720631922
320,Konark,19.9,86.1167,28.98,80,100,8.35,IN,1720631922
321,Wynyard,-41.0,145.7167,9.64,88,90,1.23,AU,1720631922
322,Tambuwal,12.4039,4.6469,33.32,44,60,3.75,NG,1720631922
323,Keflavik,64.0049,-22.5624,11.24,93,100,6.69,IS,1720631922
324,Tlacotalpan,18.6167,-95.6667,26.23,88,100,2.22,MX,1720631923
325,Hrazdan,40.4975,44.7662,16.24,86,77,1.63,AM,1720631923
326,Vryheid,-27.7695,30.7917,12.83,19,0,2.66,ZA,1720631923
327,Kismayo,-0.3582,42.5454,25.37,81,86,7.1,SO,1720631923
328,Anna,51.4842,40.4299,25.26,62,16,3.68,RU,1720631923
329,Flying Fish Cove,-10.4217,105.6791,25.82,88,100,6.17,CX,1720631923
330,Bārmer,25.75,71.3833,33.23,58,41,8.02,IN,1720631924
331,Tralee,52.2704,-9.7026,15.14,67,20,5.14,IE,1720631924
332,Nyala,12.05,24.8833,32.04,41,89,3.27,SD,1720631924
333,Lesnoy,57.6198,63.0784,20.11,77,10,3.15,RU,1720631924
334,Zhengjiatun,43.5064,123.5064,21.75,54,2,1.68,CN,1720631924
335,Alamogordo,32.8995,-105.9603,30.87,41,0,4.12,US,1720631759
336,Andkhōy,36.9529,65.1238,32.81,16,0,4.59,AF,1720631925
337,Liepāja,56.5419,21.0367,28.99,39,0,3.6,LV,1720631925
338,Çermik,38.1361,39.4493,33.4,19,67,1.85,TR,1720631925
339,Aldinga Beach,-35.2793,138.4604,12.58,92,100,11.3,AU,1720631925
340,Flin Flon,54.7682,-101.865,28.91,48,100,6.17,CA,1720631925
341,Capim Grosso,-11.3811,-40.0128,27.29,51,78,3.69,BR,1720631925
342,Hurricane,37.1753,-113.2899,39.22,9,2,1.34,US,1720631926
343,Gebeit,21.0667,36.3167,33.17,23,84,6.11,SD,1720631926
344,Guerrero Negro,27.9769,-114.0611,25.56,56,3,0.6,MX,1720631926
345,Levice,48.2156,18.6071,31.31,54,2,4.28,SK,1720631926
346,Kucha,41.7278,82.9364,29.4,20,2,3.16,CN,1720631926
347,Latakia,35.5148,35.7768,31.1,81,0,3.62,SY,1720631926
348,Richards Bay,-28.783,32.0377,18.05,65,0,0.64,ZA,1720631718
349,Visakhapatnam,17.69,83.2093,27.94,94,40,3.09,IN,1720631926
350,Tosontsengel,48.7567,98.2839,12.01,87,100,1.03,MN,1720631927
351,Lower Hutt,-41.2167,174.9167,10.95,76,100,8.23,NZ,1720631927
352,Taoudenni,22.6783,-3.9836,47.78,7,9,4.42,ML,1720631927
